AccX[mg]	AccY[mg]	AccZ[mg]	GyrX[dps]	GyrY[dps]	GyrZ[dps]	
-241.95650299999997	29.50112525	700.264762875	-10.235859375	-16.13992175	-9.407890625
-239.417379375	-0.8006248749999987	740.8450165	-5.840625000000001	-15.999374875	-7.942265624999999
-242.17000575	-21.311875374999996	794.387771625	1.1982029999999986	-15.243046875000001	-6.931640624999999
-243.7483825	-37.210000875	862.98226925	6.600234249999998	-15.993906124999999	-5.582500000000001
-240.44675812499997	-31.964000624999997	916.71563725	10.702890625	-14.117030999999999	-7.1082811249999995
-254.797008375	-16.393749624999998	985.058509875	14.896875125	-12.293749875	-7.563281
-266.181135	16.714000375000005	1054.636634875	18.992421999999998	-14.1853905	-6.3918747499999995
-276.22325887500006	41.037750375	1126.0676270000001	19.685312624999998	-17.961562375	-4.27218725
-279.845130875	64.78200075000001	1188.6764985	18.564765749999996	-22.590859249999998	-2.9307028750000006
-283.467002875	89.81487675	1232.939613375	13.585468875	-25.6221875	-2.6742184999999994
-284.237125375	107.98525262499999	1265.3153533749999	5.691328375000001	-28.514062499999998	-1.7921089999999986
-270.352001125	118.6450025	1278.2778625	-0.07601537500000077	-27.43289075	-0.1870308749999996
-289.55175012499996	112.331502625	1287.748123125	-2.6353905	-25.198906374999996	3.6301565
-303.45212549999997	114.4741265	1271.0265045	-4.5215625	-24.098593875	7.1427344999999995
-300.27249912499997	102.76212662500001	1249.50112925	-5.5846875	-21.115937625	8.042343874999998
-295.529750875	97.32550212500001	1213.152755875	-4.781328125	-15.057109499999996	6.04570325
-285.53337674999995	91.47712675000001	1188.3410035	-4.03921875	-7.349453374999996	3.8893751250000004
-280.19587899999993	85.575376125	1154.4326325	-2.651796875	0.29148424999999945	1.1205469999999993
-273.01313025	79.505875625	1121.035141	-1.3201562500000001	7.06671875	-1.6570312500000002
-263.58100325000004	75.17487575	1083.0092545	-0.38609375	11.770937625	-3.29765625
-248.89525425000002	75.41125062500001	1050.4809951250002	-0.5446875	13.7440625	-4.123984374999999
-225.8601285	60.83987574999999	1025.3871155	-1.1440625	15.3715625	-4.581171875
-217.09137925000002	56.0971255	1002.22236625	-1.509921875	17.12484375	-4.713515625
-211.01425362499998	49.34137525	982.6108702500001	-1.602890625	17.71546875	-3.6733593750000004
-210.63300325	51.468750375	965.05812825	-1.290078125	15.92007825	-2.358671875
-206.09612662499998	52.452375374999995	960.0942535	-1.68109375	13.208125125	-1.4142187499999999
-210.221250625	50.103875125	953.201248125	-1.715546875	11.2021875	-0.68140625
-217.09137550000003	50.508000249999995	951.10437775	-1.9228125	8.947968625000001	-0.56765625
-223.89287575000003	45.528875125	954.146759125	-2.0704687500000003	6.831015624999999	-0.14054687499999996
-233.96550000000002	34.884375125	957.40263375	-1.4951562500000002	5.220468749999999	0.5277343750000001
-273.775623375	34.663250000000005	948.237381125	-0.6048437499999999	3.6214062499999993	0.6748437500000001
-310.642498125	34.091374875	937.7148819999999	0.04648437500000008	1.6449999999999998	0.945
-347.9592515	32.840874750000005	924.5007553749999	0.295859375	0.7464843750000002	0.8848437499999999
-381.65412912500005	31.590374999999998	910.3868866249998	0.5950000000000001	0.0410156249999999	0.5441406249999998
-413.5418816250001	33.710125	892.8341369999999	0.5567187499999999	-0.5982812500000001	-0.11265625000000018
-437.60638237500007	34.70899975	868.319763125	0.46703125000000006	-0.83671875	-0.7716406250000001
-450.225757625	38.033499875	829.1958846250001	0.86296875	0.5884375	-2.1415625
-453.740882875	44.674875125	769.8047598750001	1.32234375	2.545156125	-4.087890625
-427.99888612499996	42.128125125	708.232883375	1.9430468749999998	5.324921625	-3.56890625
-398.162262	46.00925062500001	638.0142555	2.9361718750000003	7.99093725	-1.310312625
-380.03001025	40.8547505	588.2611312500001	2.10875	7.358749749999999	-0.30187512500000013
-356.956756625	49.62350025	560.17062375	0.8821093749999995	4.925156000000001	-0.1257813749999998
-337.00975424999996	45.1552505	546.1177521249999	-0.6868750000000001	2.69499975	-1.457968875
-340.56300362499996	35.68500062500001	563.594253625	-0.31499999999999995	0.14437475000000122	-1.6433594999999994
-348.264251875	27.244125375000003	595.329506	1.2654687500000001	-1.7685939999999993	-0.7705469999999998
-386.87725462500003	30.530500500000002	659.4023857500001	3.619765625	-4.866640749999998	1.6810936250000001
-410.63675325	41.312250750000004	729.567638375	3.8932031250000003	-11.311015750000001	2.6561717500000004
-439.10087599999997	39.07812512500001	829.478015875	2.80875	-19.655781125	1.7450781249999998
-446.497123875	52.5133755	910.30301675	4.29734375	-24.304218875	0.817578125
-463.645752125	45.399250625	972.8813935	6.45640625	-26.45726575	0.5058593749999998
-484.736499875	63.76787625	1048.605270375	7.1547656250000005	-29.63351575	-0.5550780000000004
-492.23949825000005	70.805751375	1107.6608886249999	5.053671874999999	-32.292422	-3.9194532499999997
-512.392372125	72.33075149999999	1177.391517625	1.7767968749999996	-36.488593875	-7.466484625
-500.489746125	52.40662624999999	1210.72801975	-0.6048437499999996	-36.024843875	-10.82812525
-510.470871	40.74037625	1252.208023125	-1.2594531250000003	-30.673671875	-12.417344
-513.848751125	38.681626625	1244.514404375	-0.6502343750000001	-22.889453374999995	-13.762109625
-524.3483811250001	28.6471265	1237.5070343749999	-0.35601562500000017	-15.151171874999994	-10.8582035
