AccX[mg]	AccY[mg]	AccZ[mg]	GyrX[dps]	GyrY[dps]	GyrZ[dps]	
21.7922495	203.87725075000003	988.7795107500001	13.77796825	0.7393750000000003	-23.2782805
35.471498999999994	199.86650075	1061.4762727500001	15.39015575	-2.4489062500000003	-25.473437000000004
34.7395005	231.3272515	1112.4875185	10.265937000000001	-22.39125	-29.709531000000005
40.6412505	266.40225599999997	1104.84725975	0.86625	-41.32843675	-33.7104685
72.30025175	264.80100625	1085.5407565	-17.24078125	-56.99859225	-35.11921875
86.6200035	262.92525474999997	1081.3470005	-37.5768745	-67.1245305	-35.21875
106.99400225000001	220.942005	1079.974503	-53.6604685	-69.845781	-33.882188
126.10225299999999	193.30900175	1043.283005	-77.67156225	-65.35046925	-33.20296975
134.58125124999998	158.11200125000002	1049.7490235	-85.860468	-59.10296975	-32.976563500000005
133.712	123.3877505	1022.9242704999999	-91.547968	-53.641875	-32.75890750000001
93.13175025000001	87.74849925000001	1000.52201825	-88.8343735	-46.2010935	-31.17515725
106.033251	32.81799825	1062.681015	-61.606561	-44.372344	-33.801249999999996
108.19875149999999	28.669999499999996	1072.80699175	-45.22218625	-42.333594500000004	-38.319531
149.75500499999998	19.6420005	1053.607239	-24.516405749999997	-42.977813999999995	-43.65046825
216.961754	35.9137505	1059.47848525	3.0231249999999985	-48.82390725	-49.8957805
258.45700475	69.3875005	1015.9244994999999	10.902499749999999	-48.436719249999996	-51.223593750000006
266.9817545	80.7487505	984.02151475	1.1014057499999979	-39.31812525	-46.74468825
207.491501	77.92750075	1009.33651725	-19.616406250000004	-21.45609375	-39.7479695
181.4140015	53.847750749999996	1056.10827625	-44.96296875	-1.6668752499999986	-36.314688499999995
128.55749875	44.0725015	1070.68728625	-60.04468725	9.18312475	-36.23265725
111.34024799999999	50.44700175	1067.92703225	-45.06468725	2.9924997500000003	-40.48406275
129.60974875	64.50750075	1059.7072905	-20.74953125	-10.03515625	-45.51421925
128.87775025	100.98550025	1012.21879575	-11.279843750000001	-22.8134375	-47.15484425
122.640501	122.12199950000002	982.4660339999999	-5.46109375	-29.81999975	-45.3676565
114.45125200000001	120.1394975	1015.2230227499999	-1.53234375	-29.3803125	-41.2551565
111.15725125000002	127.39849849999999	1032.9740145	-1.61875	-28.995312249999998	-37.83718775
109.434	136.83825124999998	1038.159012	-3.49781275	-29.471093749999998	-35.042656
121.6187515	133.788252	1062.177765	-12.019219	-32.14640625	-32.440625
141.23025325	137.84475525	1068.01852425	-23.66546925	-36.194374499999995	-31.062500249999996
164.50175475000003	148.76375575000003	1059.6767882499998	-31.430000749999998	-39.9546875	-29.807968999999996
176.732254	156.17525475000002	1041.7885282500001	-32.33343775	-43.669062499999995	-26.985000499999998
180.69725425	147.77250475	1042.978012	-27.28906275	-43.77843750000001	-24.68046875
185.05875400000002	143.685503	1044.15226725	-23.290312500000002	-42.148750250000006	-23.021250000000002
181.947754	136.975504	1041.3462522500001	-21.69890575	-40.66015625	-21.401406
188.76450749999998	124.3027535	1054.6747587500001	-24.868593500000003	-37.221406	-21.26468725
204.07550450000002	131.607504	1026.7215115000001	-32.73812525	-32.45375025	-20.56359375
218.63925174999997	135.51150325	996.8010097499999	-35.2056255	-27.5089065	-19.53546875
231.51025025	136.685751	991.28051725	-33.665625500000004	-24.333750499999997	-18.36078125
228.49074950000002	144.5547525	974.6275175000001	-29.607813	-21.500937999999998	-16.54953125
235.56674950000001	136.746752	992.500534	-19.560625	-23.432500499999996	-15.10578125
216.6415025	119.89550224999999	1023.8240205	-10.74281225	-29.059844249999998	-14.26578125
212.75275424999998	109.0527535	1060.62226875	-8.5279685	-29.31906275	-15.5640625
221.628254	114.17675025	1085.66275025	-11.4668745	-30.209374999999998	-17.9221875
207.62875375	121.359499	1098.89974975	-16.83062475	-32.1004685	-20.7364065
222.83300400000002	137.35674875	1097.87802125	-25.633124249999998	-30.072656000000002	-22.892187749999998
230.9917565	159.8657495	1062.31501775	-30.817498999999998	-29.9337495	-23.48937525
230.107254	147.2387505	1059.188797	-30.657811499999998	-30.8054685	-22.90859425
226.05075449999998	139.06475075	1047.2785492500002	-34.46078	-28.074374749999997	-22.23484375
230.534252	123.265751	1039.95854175	-33.796874	-24.849999999999998	-22.195469
217.15999975	88.72449974999999	1105.030304	-31.369843	-33.701719	-29.617656750000002
220.08800125	70.51599975	1138.7937927500002	-34.64999925	-38.05265625	-37.32421875
240.78224949999998	48.95250025	1102.7732847500001	-36.34749925	-43.24359375	-42.34671925
212.34099974999998	45.93300125	1057.26727275	-33.8964055	-54.190937000000005	-43.59031275
215.177498	49.974250749999996	999.9425045	-33.75093675	-54.5059365	-36.51375
192.439747	71.15650174999999	855.6622465	-35.85421875	-54.5912495	-29.247969
172.37075075	69.46375175	776.81974775	-36.7237495	-58.77703100000001	-24.47593725
173.91099975	67.96925075	677.100006	-41.58218725	-61.18109425	-22.202030999999998
148.68750025	51.10275075	540.490509	-43.415313	-55.772501250000005	-22.63296875
180.2092515	38.979	455.19725775	-45.133593749999996	-50.553126000000006	-24.44203125
197.07575225	43.9505005	417.34675574999994	-35.64203175	-42.46921975	-25.09500025
204.53300474999998	14.213000250000004	475.90675324999995	-24.7712505	-26.293750499999998	-27.76375025
231.76950474999998	19.10825	521.6567532500001	-20.58875	-15.804687750000003	-29.716094249999998
179.26375425	-5.002	719.174751	-2.480625	-10.472656500000001	-31.88718825
166.27075424999998	-4.376750250000001	894.3820035	-4.02828125	3.7843750000000003	-38.712188499999996
189.06950225	42.07475075	985.5465085000001	-3.43546875	7.875	-43.11015724999999
184.12850025	74.57249974999999	1176.61376925	0.1640625	13.4214065	-48.19609475
254.1412545	131.30249899999998	1278.2702635	-4.9437500000000005	29.103594	-51.80984425
290.90900050000005	173.529751	1333.04824825	-9.057344	37.736562750000004	-51.92359375
308.75149925000005	193.7665025	1462.68850725	-21.414531500000002	45.81937500000001	-50.977500000000006
308.23300174999997	221.61300275000002	1504.6870119999999	-22.67562525	39.932812250000005	-46.89343725
298.1832505	223.0922545	1584.70376625	-26.7050005	25.44718725	-43.89000025
291.90025325	240.11125175	1608.17352325	-27.923437749999998	3.8281247499999997	-38.447500500000004
252.93650424999998	233.32500075000002	1602.7292482500002	-20.756094	-22.86374975	-33.13296925
247.9955025	202.001503	1570.2924805	-25.979844	-36.328906	-30.152500000000003
236.84775175	185.66875075000002	1423.358734	-28.9996875	-50.45906175	-25.34218725
176.44250125	144.32600200000002	1393.46875	-21.424375	-64.1735935	-22.40656225
159.65225225	116.00675175000002	1303.2955017499999	-24.1095315	-57.620937250000004	-22.98843725
168.32950200000002	104.35575075000001	1179.41975425	-25.261250750000002	-57.79265575000001	-20.54171875
100.5889995	75.243502	1106.997513	-23.483907000000002	-64.235937	-16.94
85.99474925000001	50.35550125	994.8947450000001	-32.522656500000004	-59.053748999999996	-16.040937500000002
89.639498	52.978500499999996	822.7985077500001	-41.1129685	-61.07499875	-15.8167185
98.24049975	41.5257505	720.47100825	-40.01374925	-63.428749	-16.833906
144.69200075	43.73700025	627.2324982499999	-41.097655499999995	-58.76171875	-19.90515625
206.241001	60.908499750000004	494.40499875	-36.9971875	-52.012188	-22.3890625
253.77525325	54.2442495	483.19624324999995	-26.987187749999997	-49.506406750000004	-22.02156275
235.52100374999998	57.675499	463.44749449999995	-25.6976565	-37.4018755	-23.241093749999997
261.76625049999996	47.59524925	520.33000175	-23.48281275	-19.011562500000004	-25.073125
234.31624974999997	27.52624975	607.117752	-28.61031275	-6.404999500000001	-24.65312475
178.80624949999998	2.4247492499999996	698.98374925	-27.3120315	5.67875	-25.1256245
188.00199675	-30.05774975	849.4860074999999	-29.98843775	17.608280999999998	-26.3003125
162.473501	15.082251499999998	867.16075125	-27.08781275	12.717030999999999	-24.0209375
104.95050025	-2.4857480000000045	1055.483017	-4.099375	4.908749749999999	-23.569218749999997
107.6497495	43.2490045	1164.6577607499999	-5.544218750000001	8.41531225	-27.798750000000002
95.87675075000001	129.09125699999998	1190.048996	4.15515625	0.05250000000000046	-29.841875
87.04700075	130.23500625	1347.81024175	13.501250249999998	-8.98953175	-33.2073435
176.2900065	243.11550499999998	1371.3257445	4.314844	-14.717501	-37.27390625
254.8580055	302.072006	1434.2929989999998	5.224843750000001	-25.8409385	-36.704063
294.84350574999996	316.117256	1497.9160155	-4.787344	-31.484688500000004	-35.78968775
309.834255	343.61300650000004	1497.6262814999998	-20.837032	-26.719219250000002	-36.060938
291.2140005	305.18300625	1478.22827125	-37.7354695	-21.46156275	-35.741563
249.58150074999998	275.68950275	1398.608032	-45.456250250000004	-28.15968825	-33.40203175
202.61149975	223.04649925	1394.963287	-41.3448435	-38.1850005	-32.7140625
216.27549750000003	188.68824949999998	1338.5230404999998	-42.91984325	-44.40515675	-32.785156
204.8227465	153.97924999999998	1244.201782	-37.410625	-58.13937575	-29.05546875
168.146498	109.6780015	1197.4147642500002	-30.90828125	-64.7325	-26.886562499999997
167.444998	101.61075224999999	1097.2222595	-31.687031750000003	-70.5173435	-22.857187999999997
105.46899925000001	72.285001	958.4777525	-31.286719249999997	-75.8756255	-19.48843775
112.33150225	54.3357515	842.6997527499999	-34.01343725	-72.35703175	-21.44078125
153.3845055	63.8670015	712.571518	-39.620000499999996	-72.31546875000001	-22.78281225
184.08275525	58.86500075000001	588.0552519999999	-40.7137505	-67.8245325	-25.090625
253.409256	60.52725125	538.18775175	-40.322188000000004	-59.012188	-28.661719249999997
307.2417525	89.45650025	468.05300125	-40.88218825	-46.65828125	-29.593594250000002
336.62850175	74.46574975	479.6429975	-33.67437525	-31.869688250000003	-29.30593775
326.18225475	64.26350024999999	526.9637525	-32.58500025	-13.781250000000002	-29.15718725
293.867504	54.640749750000005	588.5737455	-27.5745315	-0.5315624999999993	-26.7279685
187.2547555	-7.213250500000001	767.440994	-16.227968999999998	4.381562499999999	-26.30578075
116.44900175000001	-27.221251249999998	848.93699625	-27.0746875	21.24609325	-32.33562475
146.36949950000002	-23.073251500000005	871.15625	-27.92124975	30.0256245	-36.857188
152.83549925	12.794748749999997	967.5057677499999	-18.793906	20.86328075	-36.4732815
188.8255005	48.54075	1074.36251825	-13.10203125	19.95328075	-36.5990625
255.8340055	139.88825425	1210.773773	-0.1640627499999996	18.66375	-36.2282815
239.5317595	202.09300524999998	1397.6167599999999	6.7342185	10.00125	-32.510624750000005
202.00150975000003	230.35125649999998	1537.5507504999998	1.1003122500000009	12.947812500000001	-34.189531249999995
212.93575775	302.80400875	1574.53201275	-9.4314065	8.899843750000002	-35.1717195
174.32275475	293.41000375	1587.4335019999999	-13.80968775	-13.993437	-30.69281275
134.45925225	284.96150224999997	1565.56500225	-20.3514065	-30.4073435	-30.148125
169.41225425	278.51075	1483.59625225	-30.173281250000002	-40.889844	-29.87140575
182.7102545	251.51824975	1391.47100825	-32.5860935	-55.444376	-26.41953075
154.6045035	206.485001	1404.46401975	-32.238281	-65.0409395	-24.4584375
147.60475325000002	169.4732515	1332.27053825	-39.330156	-66.854376	-24.5503125
131.47025100000002	124.0130025	1230.7665405	-43.0773435	-75.1537515	-23.17875025
109.81525225	79.6050005	1154.8062742500001	-43.6231245	-82.49390625	-22.211875000000003
113.6430015	62.43350025000001	972.3400267500001	-51.126249	-84.26140625	-21.65406225
131.80575	39.1010005	804.43751525	-54.778281	-85.42515775000001	-21.587343750000002
175.34449975	34.22100025	666.303009	-53.270000249999995	-81.60140625000001	-22.65156275
218.212248	34.419250000000005	553.285263	-52.7800005	-73.77562525	-23.60203125
266.35650275	32.84849975	435.204506	-48.45750125	-59.305312	-25.030469
325.37400075000005	30.0424995	399.45851124999996	-38.610469	-43.00953	-25.0982815
339.87675475	22.3412495	440.34376524999993	-27.613906250000003	-24.147811750000002	-24.588594
332.38900750000005	-3.049999999999999	517.2190095	-19.11546875	-2.4193747500000002	-24.83578175
284.397253	-14.167249750000002	668.63625325	-9.40624975	7.2384375	-24.8631255
200.11050600000002	-36.3102495	854.6252440000001	-3.0734375	16.229062499999998	-27.80968825
193.04975324999998	-18.391499749999998	929.7619932499999	-7.79515625	25.49421925	-32.826719499999996
186.27875325	34.52599975	997.8990020000001	-6.118437500000001	18.954687999999997	-33.816563249999994
186.78200525	43.82849974999999	1095.45326225	-3.775625	14.503125500000001	-33.54203175
233.78250500000001	122.91499999999999	1142.51478575	-5.8012500000000005	12.59781275	-33.5781255
238.799755	153.9487525	1283.0892945	-0.5140625000000003	5.4435935	-30.557187499999998
219.798252	159.8810035	1353.2698057500002	-7.54249975	6.56906225	-30.415
232.80649949999997	209.97725300000002	1352.00405875	-17.498905999999998	8.571718500000001	-31.382968499999997
218.34949875	200.35450350000002	1352.59878525	-21.69343725	-1.3004685	-28.2307805
158.38649750000002	193.04975125000004	1288.503021	-26.741093749999997	-11.77749975	-25.8748435
144.28024875	182.98475075000002	1225.215515	-28.658437999999997	-18.63203125	-25.1168745
118.50774949999999	146.29325125	1152.94577025	-29.988438249999998	-26.913905749999998	-24.040625000000002
100.54325100000001	128.5117515	1086.928528	-29.0992195	-31.4125	-24.448594
112.74325175000001	115.68650275	1067.13403325	-27.6554695	-34.522031250000005	-25.40234375
117.82150075	117.94350449999999	1066.8900147499999	-25.4723445	-38.35015575	-25.94593775
146.18650250000002	141.504755	1119.33474725	-21.254844499999997	-41.9289065	-26.452343499999998
168.74125275	156.44975275000002	1206.9459837499999	-20.059375499999998	-45.667344250000006	-26.350624749999998
183.86925125	174.21600324999997	1271.9719847499998	-21.482343750000002	-50.1003135	-27.52421875
223.946251	192.18050375	1331.9654845	-20.3174995	-58.5046895	-28.257031
232.425251	179.0960045	1359.2630005	-25.19890575	-63.45172049999999	-29.87796825
247.99549875000002	166.43850700000002	1258.5062715	-35.47687475	-64.53234499999999	-32.4001555
270.840004	147.787756	1203.2402805	-34.81625	-72.171094	-32.0884365
246.92800525	113.10925300000001	1158.542557	-38.21015675	-74.8584375	-30.958593
238.44900525000003	92.47600175	1030.305298	-44.81859425	-73.47812549999999	-29.88015575
254.812256	71.858	951.9507905	-44.857969499999996	-74.70093825000001	-28.523906
266.11250325	55.95224975000001	794.34202575	-54.46765725	-67.85297025	-28.837812250000002
304.20700475	52.00250075	572.896759	-61.788126	-59.9353135	-29.12765625
343.7960055	32.818000500000004	434.10650625000005	-54.69843875	-54.801250749999994	-27.497969
322.94925724999996	13.99950075	332.1907575	-44.550626	-48.792187999999996	-25.7556255
287.92000599999994	2.180750250000001	307.66875425	-33.390001	-34.54937525	-26.25218825
276.8637545	-13.32850025	391.60475900000006	-24.389532000000003	-13.280312500000004	-30.441250750000002
246.9280015	13.359000250000001	488.22875200000004	-22.89875	4.40343775	-34.39515725
220.4539985	18.43725025	675.0870055	-17.627968749999997	18.2043755	-37.207188499999994
202.06250000000003	4.605500250000004	836.4472655000001	-20.50124975	30.31218775	-39.92406375
192.11949900000002	28.42600125	933.5440062499999	-19.065155750000002	32.77968775	-39.770939
178.54700075000002	26.3977515	1083.680252	-11.063281000000002	30.137187750000002	-38.7231265
197.65525425	63.4552525	1171.1695100000002	-12.5704685	34.05281225	-39.274376000000004
214.26250449999998	128.57275375	1237.1867525	-10.61703125	30.521093500000003	-36.438282
173.850006	166.45375425	1316.4714967500001	-7.6453127499999995	21.200155750000004	-32.13328175
161.9397545	201.52875500000002	1396.25952175	-8.7839065	14.048124500000004	-29.63187525
131.77525325	221.9027555	1414.54425075	-12.023594	1.5476560000000013	-26.43484425
104.64550200000001	224.87650674999998	1431.88351475	-11.8420315	-14.204531249999999	-23.850313
89.9902515	209.199505	1452.36428875	-16.417188	-26.172344000000002	-23.383281500000002
84.56125250000001	198.66175475	1388.11602825	-24.88937575	-32.8956255	-24.46062525
82.8532525	178.77575299999998	1346.07177775	-28.936251249999998	-42.92312525	-25.38484375
82.77700250000001	154.1622505	1343.5402530000001	-28.91109475	-48.3962505	-28.736094
104.691252	132.21750049999997	1300.7030032500002	-30.47078175	-52.1412505	-32.72499975
123.43350225	109.17474924999999	1284.46176175	-29.813438	-59.49671825	-36.414218250000005
132.72075275	104.21849999999999	1280.67977925	-29.263281250000002	-62.769218249999994	-39.055625
153.94875325	97.98125049999999	1192.7635500000001	-36.11890625	-66.17843725	-37.523280500000006
148.27575475	102.678251	1082.7652895	-42.2712505	-68.67656124999999	-33.065156
142.358755	94.778751	973.2855225000001	-48.70906225	-71.72046850000001	-26.994843499999998
148.84000575	73.871001	782.233513	-55.47718675	-71.397812	-22.580468
177.72350875	57.15700025	637.51100175	-52.470468249999996	-69.57015525000001	-20.911406
213.805008	39.8635005	567.467743	-42.664999249999994	-66.8346875	-21.60812475
244.50325400000003	33.321251	495.167496	-34.58109375	-52.37749975	-24.337031500000002
296.49050525	30.8812505	489.021744	-28.08640675	-36.84406275	-26.574844000000002
279.31900025000004	25.925000999999998	552.43125175	-23.09234375	-21.369687749999997	-28.73500025
274.56100075	3.82775	641.9030077499999	-25.32250025	-1.3168749999999996	-32.03703175
